List 1 Description,List 2 Description,Status,Details
Multi-unit Residential Complex,Apartment Building Complex,Mismatch,No corresponding property found with sufficient confidence. Best match had 0% confidence.
Marina Facility,Coastal Boating Center,Match,"80% confidence: ** Both properties serve similar functions related to boating, indicating a strong similarity. Limits: Two million Dollars/1598.261K, Mortgages: Four million Dollars/1212708"
Shopping Mall,Downtown Office Complex,Mismatch,No corresponding property found with sufficient confidence.
Downtown Commercial Office Space,Downtown Office Complex,Mismatch,No corresponding property found with sufficient confidence. Best match had 0% confidence.
Downtown Commercial Office Space,Downtown Office Complex,Mismatch,No corresponding property found with sufficient confidence. Best match had 0% confidence.
Golf Course Clubhouse,Coastal Boating Center,Similar Match,"45% confidence: [Both properties are related to leisure but serve different specific functions; one is a clubhouse and the other a boating center.] Limits: 629293/1598.261K, Mortgages: 452894/1212708"
Industrial Warehouse,Retail Storefront with Warehouse,Mismatch,No corresponding property found with sufficient confidence. Best match had 0% confidence.
Shopping Mall,Downtown Office Complex,Mismatch,No corresponding property found with sufficient confidence.
Industrial Warehouse,Retail Storefront with Warehouse,Mismatch,No corresponding property found with sufficient confidence. Best match had 0% confidence.
Gardens and Recreation Area,Parks and Playground Areas,Match,"100% confidence: Property A and Property B both describe recreational areas, with Property A being a gardens and recreation area and Property B being a parks and playground areas. They serve similar purposes and are closely related. Limits: Two million Dollars/5.534903M, Mortgages: Two million Dollars/Three million Dollars"
Gardens and Recreation Area,Parks and Playground Areas,Match,"100% confidence: Property A and Property B both describe recreational areas, with Property A being a gardens and recreation area and Property B being a parks and playground areas. They serve similar purposes and are closely related. Limits: 1377.797K/5.534903M, Mortgages: $1146370/Three million Dollars"
Marina Facility,Coastal Boating Center,Match,"80% confidence: ** Both properties serve similar functions related to boating, indicating a strong similarity. Limits: $5673682/1598.261K, Mortgages: $3545831/1212708"
Medical Office Building,Downtown Office Complex,Mismatch,No corresponding property found with sufficient confidence. Best match had 0% confidence.
